object	size_bytes	modified_ts	note
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexPostings	2097152	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexTermIds	2097152	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.indexUpdates		2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.ivf-vector-indexes	8	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexArrays	4194304	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexCompactDirectory	1748	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexDirectory	10280	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexGroups	17645	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexHead	4096	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexPositionTable	1205648	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/live.0.shadowIndexTermIds	1205648	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/permStore	118630	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/reverseDirectoryStore	2097152	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/reverseDirectoryStore.shadow	1703936	2022-04-11 23:02:31	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/reverseStore.updates	1	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/shutdown_time	4	2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/store.db	20516864	2022-06-01 03:39:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/store.updates	3	2022-06-01 03:39:43	
